COD,"Bloque, ladrillo, piedra, madera pulida","Cana, esterilla, otros vegetales",Concreto vaciado,Guadua,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Material prefabricado,No tiene paredes,Sin informacion,"Tapia pisada, bahareque, adobe"
19397,171,0,5,3,1,0,1,0,0,14802
19418,766,0,9,0,10332,45,55,0,0,27
19450,1062,0,0,0,21,0,0,0,0,4258
19455,5059,0,48,2,29,0,0,0,0,511
19473,11724,69,12,15,592,33,4,0,0,2396
19513,2755,0,2,1,0,0,0,0,0,12
19517,2880,4,1,6,14,49,39,0,0,17407
19532,3461,46,6,0,90,37,0,0,0,7190
19533,72,0,0,0,4018,1,3,0,0,4
19548,19629,2,0,10,10,0,34,0,0,258
19573,617,0,0,2,2,0,0,0,0,0
19585,3230,0,65,0,3213,0,1,0,0,980
19622,4445,46,0,3,1,0,10,0,0,2895
19693,24,0,0,3,15,0,0,0,0,7186
19698,17300,166,16,22,27,0,0,0,0,14043
19701,403,3,151,1,2017,17,1,0,0,310
19743,7440,9,1,6,20,11,0,0,0,6858
19760,5982,8,0,2,727,0,5,0,0,3225
19780,3562,2,0,0,3866,0,0,0,0,5135
19785,24,0,0,0,1,5,0,0,0,4685
19807,17619,22,0,16,51,0,2,0,0,437
19809,736,5,43,7,6876,13,4,2,0,43
19821,8919,0,5,1,58,0,0,0,0,5851
19824,9764,7,11,0,37,0,2,0,0,1699
19845,3350,0,0,0,15,0,0,0,0,8
20001,8578,171,119,52,1685,184,60,1,0,2428
20011,3902,0,0,2,114,2,2,0,0,2824
20013,2501,6,26,22,1142,21,3,6,0,322
20032,1406,8,0,0,1754,10,0,0,0,991
20045,1774,9,2,0,523,56,6,0,0,316
20060,1340,0,1,0,48,17,0,0,0,79
20175,3492,1,1,10,1209,3,5,0,0,1185
20178,1244,5,0,4,264,72,0,0,0,284
20228,2008,0,4,1,476,282,0,0,0,617
20238,2243,15,0,0,865,13,6,0,0,14
20250,1164,0,2,0,31,0,0,0,0,1443
20295,1057,0,0,0,13,1,2,0,0,8
20310,1088,0,0,0,0,0,0,0,0,1084
20383,2004,0,0,0,439,0,0,0,0,826
20400,1013,0,1,23,1311,60,0,0,0,768
20443,862,0,0,0,105,0,71,0,0,163
20517,1131,1,3,0,376,0,0,0,0,585
20550,1597,0,0,0,830,1,0,0,0,24
20570,1792,0,17,13,650,33,62,0,0,1694
20614,2847,0,3,0,1,5,0,0,0,2099
20621,1549,0,23,2,208,90,7,6,0,932
20710,2327,0,7,7,87,0,0,0,0,363
20750,1875,0,0,0,218,0,0,0,0,128
20770,2594,6,0,1,242,14,0,0,0,84
20787,1951,0,22,0,275,5,0,0,0,318
23001,22272,156,52,19,17355,65,43,0,0,460
23068,2533,279,2,24,5523,485,4,0,0,0
23079,3189,0,35,0,2505,4,0,0,0,1
23090,28,10,1,0,8866,3,0,0,0,0
23162,15511,8,60,102,1527,24,14,0,0,54
23168,3543,97,0,0,22,4,117,0,0,139
23182,11488,174,6,21,0,0,0,0,0,3021
23189,20170,1681,11,11,679,10,19,0,0,360
23300,5769,4,0,0,7,0,5,0,0,0
23350,977,17,2,6,176,24,0,0,0,0
23417,13711,70,51,33,12448,24,30,0,0,1294
23419,296,3,1,0,9071,6,0,0,0,3
23464,1872,2,2,0,2,0,0,0,0,969
23466,2397,86,5,0,6391,56,0,0,0,9
23500,676,14,17,56,14865,12,2,0,0,6
23555,8420,120,36,105,3551,26,4,0,0,93
23570,6871,75,6,12,5053,31,2,0,0,423
23574,174,11,37,1,12278,0,33,0,0,0
23580,1644,13,0,1,13063,72,28,1,0,28
23586,3367,817,0,0,13,0,0,0,0,395
23660,8917,111,12,837,39,0,0,0,0,16678
23670,1419,11738,136,7644,4,9,19,0,0,3269
23672,3084,306,0,0,77,0,0,0,0,1867
23675,9455,309,18,0,4284,17,0,0,0,668
23678,11627,7,0,54,1786,0,1,0,0,495
23682,932,0,0,0,2513,2,1,0,0,6
23686,14219,51,1,0,6262,14,1,0,0,41
23807,6955,65,29,6,21406,77,30,20,0,99
23815,1457,1557,15,0,15,0,0,0,0,1172
23855,964,36,32,7,11592,12,8,0,0,4
25001,2106,0,0,0,0,0,0,0,0,3
25019,3293,0,0,0,7,0,4,0,0,3
25035,5832,0,0,1,0,2,14,0,0,6
25040,6351,0,0,0,0,0,1,0,0,0
25053,5447,0,2,0,70,0,3,0,0,0
25086,463,0,2,3,0,5,1,0,0,34
25095,1737,0,0,0,0,0,2,0,0,0
25099,2002,0,0,1,0,0,0,0,0,0
25120,1449,0,47,0,1667,0,0,0,0,0
25123,5512,0,0,0,0,0,1,0,0,4
25126,10047,0,9,0,0,0,16,0,0,0
25148,5230,0,0,5,1138,0,0,0,0,73
25151,8851,0,0,0,0,0,0,0,0,3
25154,5222,0,0,0,0,0,8,0,0,22
25168,1566,0,0,0,0,0,1,0,0,906
25175,10822,0,11,0,14,4,131,0,0,0
25178,5881,0,0,0,5,0,14,0,0,26
25181,6342,0,1,0,0,0,0,0,0,15
25183,9340,0,0,0,0,0,16,0,0,11
25200,8699,0,0,0,0,0,0,0,0,0
25214,11013,0,3,5,41,0,88,0,0,14
25224,5856,0,0,0,12,0,3,0,0,3
25245,10719,0,4,1,11,0,4,0,0,0
25258,2729,0,0,8,5,0,10,0,0,29
25260,2555,0,0,0,0,0,2,0,0,0
25269,6578,0,16,0,23,0,3,0,0,12
25279,6136,0,3,0,0,0,12,0,0,20
25281,4214,0,0,0,0,0,0,0,0,7
25286,1732,0,19,0,0,0,13,0,0,0
25288,3926,0,0,0,0,0,0,0,0,0
25290,15210,0,6,0,18,0,4,0,0,5
25293,1888,0,0,0,117,8,31,0,0,640
25295,4621,0,0,0,4,0,0,0,0,0
25297,3195,0,0,0,3,0,3,0,0,1701
25299,2207,0,0,0,0,0,10,0,0,151
25307,1756,179,8,1,15,51,0,0,0,2
25312,4051,0,0,0,0,0,0,0,0,0
25317,6463,0,0,0,0,0,2,0,0,7
25320,7248,1,12,0,49,46,0,0,0,130
25322,8314,0,5,0,2,0,12,0,0,8
25324,131,0,0,0,0,0,11,0,0,374
25326,3903,0,0,0,0,0,21,0,0,0
25328,2553,0,0,0,0,0,0,0,0,0
25335,2816,0,0,0,103,0,19,0,0,0
25339,2200,0,2,0,86,4,0,0,0,0
25368,1107,0,5,0,0,0,0,0,0,124
25372,2340,0,0,0,0,0,0,0,0,1815
25377,12188,0,2,0,0,5,25,0,0,0
