Municipio,Material Pared,Material Piso,Tipo Vivienda,No. edificaciones,TPER,THOG,Departamento,COD,No. total edificaciones
31,Concreto vaciado,"Cemento, gravilla",Casa,1,4,1,5,5031,3594
31,Concreto vaciado,"Cemento, gravilla",Apartamento,1,1,1,5,5031,3594
31,Material prefabricado,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,1,1,1,5,5031,3594
31,Material prefabricado,"Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,1,1,1,5,5031,3594
31,Material prefabricado,"Cemento, gravilla",Casa,2,7,2,5,5031,3594
31,"Tapia pisada, bahareque, adobe","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,38,118,41,5,5031,3594
31,"Tapia pisada, bahareque, adobe","Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,5,9,5,5,5031,3594
31,"Tapia pisada, bahareque, adobe","Cemento, gravilla",Casa,77,264,84,5,5031,3594
31,"Tapia pisada, bahareque, adobe","Cemento, gravilla",Apartamento,4,9,4,5,5031,3594
31,"Tapia pisada, bahareque, adobe","Tierra, arena, barro",Casa,2,2,2,5,5031,3594
31,"Madera burda, tabla, tablon","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,2,6,3,5,5031,3594
31,"Madera burda, tabla, tablon","Cemento, gravilla",Casa,69,255,81,5,5031,3594
31,"Madera burda, tabla, tablon","Cemento, gravilla",Apartamento,1,1,1,5,5031,3594
31,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Casa,1,3,1,5,5031,3594
31,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Apartamento,1,2,1,5,5031,3594
31,"Madera burda, tabla, tablon","Tierra, arena, barro",Casa,7,19,7,5,5031,3594
31,"Madera burda, tabla, tablon","Tierra, arena, barro",Apartamento,1,1,1,5,5031,3594
31,"Madera burda, tabla, tablon, otro vegetal","Tierra, arena, barro",Apartamento,1,5,1,5,5031,3594
34,Sin informacion,Sin informacion,Casa,188,0,0,5,5034,3799
34,Sin informacion,Sin informacion,Apartamento,66,0,0,5,5034,3799
34,"Bloque, ladrillo, piedra, madera pulida","Marmol, parque, madera pulida y lacada",Casa,35,103,46,5,5034,3799
34,"Bloque, ladrillo, piedra, madera pulida","Marmol, parque, madera pulida y lacada",Apartamento,15,64,22,5,5034,3799
34,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,1258,6765,2277,5,5034,3799
34,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,1055,8821,3175,5,5034,3799
34,"Bloque, ladrillo, piedra, madera pulida",Alfombra,Casa,1,3,2,5,5034,3799
34,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Casa,573,2559,817,5,5034,3799
34,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Apartamento,144,1134,368,5,5034,3799
34,"Bloque, ladrillo, piedra, madera pulida","Madera burda, tabla, tablon, otro vegetal",Casa,9,32,11,5,5034,3799
34,"Bloque, ladrillo, piedra, madera pulida","Tierra, arena, barro",Casa,4,11,5,5,5034,3799
34,Concreto vaciado,"Marmol, parque, madera pulida y lacada",Apartamento,1,1,1,5,5034,3799
34,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,67,337,117,5,5034,3799
34,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,23,83,37,5,5034,3799
34,Concreto vaciado,Alfombra,Casa,1,1,1,5,5034,3799
34,Concreto vaciado,"Cemento, gravilla",Casa,16,83,25,5,5034,3799
34,Concreto vaciado,"Cemento, gravilla",Apartamento,6,7,6,5,5034,3799
34,Concreto vaciado,"Madera burda, tabla, tablon, otro vegetal",Casa,1,1,1,5,5034,3799
34,Material prefabricado,"Marmol, parque, madera pulida y lacada",Apartamento,1,1,1,5,5034,3799
34,Material prefabricado,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,2,5,2,5,5034,3799
34,Material prefabricado,"Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,1,2,1,5,5034,3799
34,Material prefabricado,"Cemento, gravilla",Casa,3,9,3,5,5034,3799
34,Guadua,"Cemento, gravilla",Casa,2,5,2,5,5034,3799
34,Guadua,"Tierra, arena, barro",Casa,2,3,2,5,5034,3799
34,"Tapia pisada, bahareque, adobe","Marmol, parque, madera pulida y lacada",Casa,3,16,10,5,5034,3799
34,"Tapia pisada, bahareque, adobe","Marmol, parque, madera pulida y lacada",Apartamento,4,27,6,5,5034,3799
34,"Tapia pisada, bahareque, adobe","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,112,500,160,5,5034,3799
34,"Tapia pisada, bahareque, adobe","Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,21,115,46,5,5034,3799
34,"Tapia pisada, bahareque, adobe","Cemento, gravilla",Casa,126,616,177,5,5034,3799
34,"Tapia pisada, bahareque, adobe","Cemento, gravilla",Apartamento,6,35,14,5,5034,3799
34,"Tapia pisada, bahareque, adobe","Madera burda, tabla, tablon, otro vegetal",Casa,26,105,32,5,5034,3799
34,"Tapia pisada, bahareque, adobe","Tierra, arena, barro",Casa,1,2,1,5,5034,3799
34,"Madera burda, tabla, tablon","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,1,1,1,5,5034,3799
34,"Madera burda, tabla, tablon","Cemento, gravilla",Casa,2,6,2,5,5034,3799
34,"Madera burda, tabla, tablon","Cemento, gravilla",Apartamento,1,5,2,5,5034,3799
